"title_author","blurb","rating"
The Soul of a New Machine - Paul Tracy Kidder **,Story of a new 32-bit minicomputer and the drama around it. Notable largely as an early effort to describe how computers work in context of the story.,2
A Fine Mess - T R Reid **,Taxes and how to make them better. Very much a believer in the Broad Base Low Rates idea. Not entirely convincing about every example.,2
On Tyranny - Timothy Snyder ***,Rules to live by to resist tyranny. Short and sweet.,3
Dear Committee Members - Julie Schumacher **,Story of english prof at third-rate college told through his letters--mostly letters of recommendation for various people,2
Collapsing Empire - John Scalzi **,"Typical Scalzi: Economically preposterous, politically unbelieveable, very fun.",2
Revenger - Alastair Reynolds **,Sisters in universe with light sails who chase after treasure in “baubles.”,2
Lincoln in the Bardo - George Saunders *,Lincolns kid is dead and among the haunts. Woulda been more interesting to me if I had great agita about what happens when you’re dead.,1
The Boy on the Bridge - M. R. Carey**,Sequel of sorts to The Girl With All the Gifts. Not as good.,2
House of Shattered Wings - Aliette de Bodard **,"Post-magical apocalypse Paris. Fallen. Houses. Morningstar, asmodeus.",2
Kangaroo Too - Curtis Chen **,"Sequel to Waypoint Kangaroo. Still silly, but entertaining.",2
Move Fast and Break Things - Jonathan Taplin **,"Intermittently compelling take on the pernicious effects of the internet. Lost me in 1) his carping about the internet lowering culture and 2) his assault on Fair Use. Also some of his line drawing between libertarian ideology and specific actions of internet companies was pretty weak. Also, uses “anarchist” as an all-purpose epithet.",2
Tropic of Kansas - Christopher Brown **,"Post descent into fascism America. Concentrates on resistance. Petty great for the first two thirds, then feels super rushed.",2
The Heart of the Mission - Cary Cordova **,Fascinating history of the (Latino) arts movements in the Mission up to the 80s. I was mildly frustrated that it ended just around the time I showed up!,2
Twitter and Tear Gas: The Power and Fragility of Networked Protest - Zeynep Tufekci ***,"Strengths and weaknesses of network-driven protests. Posits three dimensions of capacity: Narrative, Disruptive and Institutional/electoral. Occupy, e.g., has much of the first, some of the second and very little of the third. Also, posits that social media organized protestsd can grow very quickly but don't have the capaicty ot make decisions on the ground and have not built the structure to react to events, since they haven't worked together.",3
The Stars are Legion - Kameron Hurley *,Weird split of space opera with journey through a fantastic series of confusingly-drawn levels. Unconvincing characters.,1
Rise and Fall of D.O.D.O. - Neal Stephenson & Nocole Galland **,"Pefectly fine time-travel book. Some funny bureaucratic moments, but missing the usual Stephenson voice.",2
"Between Silk and Cyanide: A Codemaker's War, 1941-1945 - Leo Marks **",Insufficiently edited but perfectly entertaining first-person account of WWII cryptography,2
Direct Action: Protest and the Reinvention of American Radicalism - L. A. Kauffman **,History of Direct Action from 1971 Mayday to Fergusen. Sees tension primarily in centralized/decentralized axis. ,2
No Is Not Enough: Resisting Trump's Shock Politics and Winning the World We Need - Naomi Klein **,"Outlines the reasons for Trump's success and that we need to fight *FOR* stuff, not just against bad things.",2
Sourdough - Robin Sloan **,Cute! Woman working at robotics startup has magic sourdough starter.,2
Economism - James Kwak ***,"Economism is the ideology that Econ 101 explains the world and that anything one does to try to, say, improve equality is necessarily counterproductive. Not coincidentally, this benefits rich people. Examples includ  the effects of taxes on rich people (no evidence they work less when taxes go up) and health care (where higher deductibles don't make better consumers). ",3
After On: A Novel of Silicon Valley - Rob Reid **,AI and silicon valley. Needed an editor and about 100 fewer pages. Also some more developed female characters,2
The Corporation Wars: Dissidence - Ken MacLeod **,"Slow to start. Trademark MacLeod political organization. First in trilogy, and shows it",2
The Half-Drowned King - Linnea Hartsuyker **,Historical novel about vikings.,2
Defining Moments in Black History - Dick Gregory *,"Anecdotes, conspiracies, and occasional insights.",1
The Salt Line - Holly Goddard Jones **,"Privileged people live protected from super-ticks. Leads are gf of rockstar, wife of mobster",2
Autonomous - Annalee Newitz **,Biohackers and autonomous robots,2
Taste of Marrow - Sarah Gailey **,"Sequel to River of Teeth. Fewer Hippos, more people. This is not an improvement!",2
Null States - Malka Older (via  audio) **,Very good book with excessively pat ending. Woulda been 3 stars til then. ,2
